Points,PFBA,PFPeA,PFBS,42FTS,PFHxA,PFHpA,PFHxS,62FTS,PFOA,PFNA,PFOS,82FTS,PFDA,MeFOSAA,FOSA,EtFOSAA,PFUdA,PFDoA,PFTeDA
Cal_1,124.995531,124.995531,110.6210449,116.8708215,124.995531,124.995531,92.49669293,118.7457544,124.995531,124.995531,124.995531,119.9957097,124.995531,124.995531,124.995531,124.995531,124.995531,124.995531,124.995531
Cal_2,249.991062,249.991062,221.2420898,233.7416429,249.991062,249.991062,184.9933859,237.4915089,249.991062,249.991062,249.991062,239.9914195,249.991062,249.991062,249.991062,249.991062,249.991062,249.991062,249.991062
Cal_3,374.9865929,374.9865929,331.8631348,350.6124644,374.9865929,374.9865929,277.4900788,356.2372633,374.9865929,374.9865929,374.9865929,359.9871292,374.9865929,374.9865929,374.9865929,374.9865929,374.9865929,374.9865929,374.9865929
Cal_4,499.9821239,499.9821239,442.4841797,467.4832859,499.9821239,499.9821239,369.9867717,474.9830177,499.9821239,499.9821239,499.9821239,479.982839,499.9821239,499.9821239,499.9821239,499.9821239,499.9821239,499.9821239,499.9821239
Cal_5,2499.390888,2499.390888,2211.960936,2336.93048,2499.390888,2499.390888,1849.549257,2374.421343,2499.390888,2499.390888,2499.390888,2399.415252,2499.390888,2499.390888,2499.390888,2499.390888,2499.390888,2499.390888,2499.390888
Cal_6,4998.781775,4998.781775,4423.921871,4673.86096,4998.781775,4998.781775,3699.098514,4748.842687,4998.781775,4998.781775,4998.781775,4798.830504,4998.781775,4998.781775,4998.781775,4998.781775,4998.781775,4998.781775,4998.781775
Cal_7,7498.172663,7498.172663,6635.882807,7010.79144,7498.172663,7498.172663,5548.647771,7123.26403,7498.172663,7498.172663,7498.172663,7198.245757,7498.172663,7498.172663,7498.172663,7498.172663,7498.172663,7498.172663,7498.172663
Cal_8,9997.563551,9997.563551,8847.843742,9347.72192,9997.563551,9997.563551,7398.197028,9497.685373,9997.563551,9997.563551,9997.563551,9597.661009,9997.563551,9997.563551,9997.563551,9997.563551,9997.563551,9997.563551,9997.563551
Cal_9,14996.34533,14996.34533,13271.76561,14021.58288,14996.34533,14996.34533,11097.29554,14246.52806,14996.34533,14996.34533,14996.34533,14396.49151,14996.34533,14996.34533,14996.34533,14996.34533,14996.34533,14996.34533,14996.34533
Cal_10,19995.1271,19995.1271,17695.68748,18695.44384,19995.1271,19995.1271,14796.39406,18995.37075,19995.1271,19995.1271,19995.1271,19195.32202,19995.1271,19995.1271,19995.1271,19995.1271,19995.1271,19995.1271,19995.1271
