Points,PFBA,PFPeA,PFBS,42FTS,PFHxA,PFHpA,PFHxS,62FTS,PFOA,PFNA,PFOS,82FTS,PFDA,MeFOSAA,FOSA,EtFOSAA,PFUdA,PFDoA,PFTeDA
LB,0.005280467,0.005280467,0.005280467,0.005280467,0.005280467,0.005280467,0.005280467,0.005280467,0.005280467,0.005280467,0.005280467,0.005280467,0.005280467,0.005280467,0.005280467,0.005280467,0.005280467,0.005280467,0.005280467
LFB1,0.005249244,0.005249244,0.005249244,0.005249244,0.005249244,0.005249244,0.005249244,0.005249244,0.005249244,0.005249244,0.005249244,0.005249244,0.005249244,0.005249244,0.005249244,0.005249244,0.005249244,0.005249244,0.005249244
LFB2,0.005270193,0.005270193,0.005270193,0.005270193,0.005270193,0.005270193,0.005270193,0.005270193,0.005270193,0.005270193,0.005270193,0.005270193,0.005270193,0.005270193,0.005270193,0.005270193,0.005270193,0.005270193,0.005270193
LFB3,0.005268091,0.005268091,0.005268091,0.005268091,0.005268091,0.005268091,0.005268091,0.005268091,0.005268091,0.005268091,0.005268091,0.005268091,0.005268091,0.005268091,0.005268091,0.005268091,0.005268091,0.005268091,0.005268091
A1,0.005231826,0.005231826,0.005231826,0.005231826,0.005231826,0.005231826,0.005231826,0.005231826,0.005231826,0.005231826,0.005231826,0.005231826,0.005231826,0.005231826,0.005231826,0.005231826,0.005231826,0.005231826,0.005231826
A2,0.005046867,0.005046867,0.005046867,0.005046867,0.005046867,0.005046867,0.005046867,0.005046867,0.005046867,0.005046867,0.005046867,0.005046867,0.005046867,0.005046867,0.005046867,0.005046867,0.005046867,0.005046867,0.005046867
A3,0.004976963,0.004976963,0.004976963,0.004976963,0.004976963,0.004976963,0.004976963,0.004976963,0.004976963,0.004976963,0.004976963,0.004976963,0.004976963,0.004976963,0.004976963,0.004976963,0.004976963,0.004976963,0.004976963
B1,0.005283636,0.005283636,0.005283636,0.005283636,0.005283636,0.005283636,0.005283636,0.005283636,0.005283636,0.005283636,0.005283636,0.005283636,0.005283636,0.005283636,0.005283636,0.005283636,0.005283636,0.005283636,0.005283636
B2,0.005209124,0.005209124,0.005209124,0.005209124,0.005209124,0.005209124,0.005209124,0.005209124,0.005209124,0.005209124,0.005209124,0.005209124,0.005209124,0.005209124,0.005209124,0.005209124,0.005209124,0.005209124,0.005209124
B3,0.00523364,0.00523364,0.00523364,0.00523364,0.00523364,0.00523364,0.00523364,0.00523364,0.00523364,0.00523364,0.00523364,0.00523364,0.00523364,0.00523364,0.00523364,0.00523364,0.00523364,0.00523364,0.00523364
